,index,lat,long,date,time
131,3066,39.760085000000004,-86.16370379467308,2019-10-20,13:00
132,1647,38.90768745,-76.8644868591675,2019-10-20,13:00
133,3396,40.81350705,-74.07434417766939,2019-10-20,13:00
134,3893,39.743952,-105.01922281236835,2019-10-17,20:20
135,595,44.500988500000005,-88.06102055468037,2019-10-14,20:15
136,801,39.04894045,-94.48300340048719,2019-10-13,13:00
137,3642,41.5060559,-81.69971184525946,2019-10-13,13:00
138,2551,39.2779664,-76.62380930835468,2019-10-13,13:00
139,3899,51.6041916,-0.06623490525918088,2019-10-13,09:30
140,3797,34.0139923,-118.28802864848308,2019-10-13,16:05
141,3892,39.743952,-105.01922281236835,2019-10-13,16:25
142,3878,30.3257534,-81.6449938,2019-10-13,13:00
143,3857,41.8845767,-87.651809,2019-10-13,20:20
144,3395,40.81350705,-74.07434417766939,2019-10-13,16:25
145,3828,25.95790315,-80.23884973967523,2019-10-13,13:00
146,2198,42.091252600000004,-71.2644646105907,2019-10-10,20:20
147,3690,37.40303995,-121.96968170505542,2019-10-07,20:15
148,269,39.0954645,-84.5160488350198,2019-10-06,13:00
149,3394,40.81350705,-74.07434417766939,2019-10-06,13:00
150,3856,41.8845767,-87.651809,2019-10-06,16:05
151,800,39.04894045,-94.48300340048719,2019-10-06,20:20
152,1838,40.44671645,-80.01575493349428,2019-10-06,13:00
153,2685,35.2257363,-80.85388172071353,2019-10-06,13:00
154,1646,38.90768745,-76.8644868591675,2019-10-06,13:00
155,3898,51.6041916,-0.06623490525918088,2019-10-06,13:00
156,2409,39.9009099,-75.16748915605905,2019-10-06,13:00
157,3732,36.16649655,-86.77126444208471,2019-10-06,13:00
158,3587,47.5953459,-122.33164431196111,2019-10-03,20:20
159,1837,40.44671645,-80.01575493349428,2019-09-30,20:15
160,3764,42.7737131,-78.78690321060253,2019-09-29,13:00
161,1376,41.86245145,-87.61671514704074,2019-09-29,16:25
162,3393,40.81350705,-74.07434417766939,2019-09-29,13:00
163,3891,39.743952,-105.01922281236835,2019-09-29,16:25
164,3827,25.95790315,-80.23884973967523,2019-09-29,13:00
165,2550,39.2779664,-76.62380930835468,2019-09-29,13:00
166,3796,34.0139923,-118.28802864848308,2019-09-29,16:05
167,594,44.500988500000005,-88.06102055468037,2019-09-26,20:20
168,1645,38.90768745,-76.8644868591675,2019-09-23,20:15
169,3855,41.8845767,-87.651809,2019-09-22,16:25
170,2408,39.9009099,-75.16748915605905,2019-09-22,13:00
